CTC_01_00000,KED_01_00000
29.88,42.06
29.88,42.05
29.87,42.03
29.88,42.02
29.89,42.03
29.93,42.04
29.95,42.05
29.94,42.06
29.93,42.06
29.9,42.07
29.89,42.08
29.88,42.13
29.88,42.14
29.87,42.15
29.9,42.15
29.92,42.16
29.94,42.17
29.97,42.17
30.02,42.18
30.07,42.2
30.1,42.22
30.13,42.24
30.25,42.38
30.35,42.48
30.38,42.58
30.45,42.7
30.59,42.78
30.6,42.84
30.62,42.88
30.62,42.91
30.61,42.95
30.62,42.95
30.65,42.9
30.67,42.82
30.68,42.72
30.65,42.64
30.65,42.63
30.75,42.64
30.83,42.65
30.92,42.69
31.0,42.78
31.07,42.86
31.09,42.95
31.13,43.04
31.18,43.12
31.29,43.22
31.45,43.36
31.65,43.48
31.87,43.73
32.11,43.99
32.19,44.16
32.39,44.28
32.65,44.39
32.93,44.48
33.09,44.53
33.31,44.52
33.47,44.4
33.45,44.28
33.55,44.14
33.55,44.02
33.51,43.92
33.49,43.84
33.41,43.75
33.11,43.66
32.95,43.54
32.69,43.38
32.47,43.2
32.37,43.1
32.31,42.95
32.11,42.86
32.03,42.8
31.95,42.74
31.83,42.7
31.77,42.66
31.67,42.63
31.61,42.6
31.55,42.56
31.47,42.5
31.41,42.46
31.35,42.42
31.29,42.39
31.25,42.37
31.19,42.35
31.14,42.33
31.1,42.31
31.06,42.29
31.02,42.28
30.99,42.26
30.96,42.24
30.91,42.23
30.89,42.22
30.86,42.21
30.83,42.2
30.8,42.18
30.78,42.17
30.75,42.16
30.73,42.15
